ps,,/Raised_Cosine_Transmit_Filter_tb/Out1
d,elta,
662000000,2,-0.198730469
663000000,2,0.198486328
664000000,2,0.519287109
665000000,2,0.641845703
665001000,1,0.639160156
666000000,2,0.519287109
667000000,2,0.198486328
668000000,2,-0.198730469
669000000,2,-0.51953125
670000000,2,-0.642089844
670001000,1,-0.639404297
671000000,2,-0.51953125
672000000,2,-0.198730469
673000000,2,0.198486328
674000000,2,0.519287109
675000000,2,0.641845703
675001000,1,0.639160156
676000000,2,0.519287109
677000000,2,0.198486328
678000000,2,-0.198730469
679000000,2,-0.51953125
680000000,2,-0.642089844
680001000,1,-0.639404297
681000000,2,-0.51953125
682000000,2,-0.198730469
683000000,2,0.198486328
684000000,2,0.519287109
685000000,2,0.641845703
685001000,1,0.639160156
686000000,2,0.519287109
687000000,2,0.198486328
688000000,2,-0.198730469
689000000,2,-0.51953125
690000000,2,-0.642089844
690001000,1,-0.639404297
691000000,2,-0.51953125
692000000,2,-0.198730469
693000000,2,0.198486328
694000000,2,0.519287109
695000000,2,0.641845703
695001000,1,0.639160156
696000000,2,0.519287109
697000000,2,0.198486328
698000000,2,-0.198730469
699000000,2,-0.51953125
700000000,2,-0.642089844
700001000,1,-0.639404297
701000000,2,-0.51953125
702000000,2,-0.198730469
703000000,2,0.198486328
704000000,2,0.519287109
705000000,2,0.641845703
705001000,1,0.639160156
706000000,2,0.519287109
707000000,2,0.198486328
708000000,2,-0.198730469
709000000,2,-0.51953125
710000000,2,-0.642089844
710001000,1,-0.639404297
711000000,2,-0.51953125
712000000,2,-0.198730469
713000000,2,0.198486328
714000000,2,0.519287109
715000000,2,0.641845703
715001000,1,0.639160156
716000000,2,0.519287109
717000000,2,0.198486328
718000000,2,-0.198730469
719000000,2,-0.51953125
720000000,2,-0.642089844
720001000,1,-0.639404297
721000000,2,-0.51953125
722000000,2,-0.198730469
723000000,2,0.198486328
724000000,2,0.519287109
725000000,2,0.641845703
725001000,1,0.639160156
726000000,2,0.519287109
727000000,2,0.198486328
728000000,2,-0.198730469
729000000,2,-0.51953125
730000000,2,-0.642089844
730001000,1,-0.639404297
731000000,2,-0.51953125
732000000,2,-0.198730469
